# file...... 1Meter_632_B_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_B_20:measured_power.real,house_meter_632_B_21:measured_power.real,house_meter_632_B_22:measured_power.real,house_meter_632_B_23:measured_power.real,house_meter_632_B_24:measured_power.real,house_meter_632_B_25:measured_power.real,house_meter_632_B_26:measured_power.real,house_meter_632_B_27:measured_power.real,house_meter_632_B_28:measured_power.real,house_meter_632_B_29:measured_power.real,house_meter_632_B_30:measured_power.real,house_meter_632_B_31:measured_power.real,house_meter_632_B_32:measured_power.real,house_meter_632_B_33:measured_power.real,house_meter_632_B_34:measured_power.real,house_meter_632_B_35:measured_power.real,house_meter_632_B_36:measured_power.real,house_meter_632_B_37:measured_power.real,house_meter_632_B_38:measured_power.real,house_meter_632_B_39:measured_power.real,house_meter_632_B_40:measured_power.real
2021-01-09 18:30:00 UTC,2.1609e+03,2.4012e+03,3.9616e+03,2.0408e+03,1.1603e+03,2.5213e+03,2.4812e+03,2.4412e+03,2.2410e+03,2.0809e+03,1.4004e+03,1.8006e+03,1.6806e+03,5.2005e+02,6.4008e+02,7.6012e+02,1.0402e+03,6.4008e+02,2.0001e+02,1.9608e+03,2.0408e+03
2021-01-09 18:45:00 UTC,2.0408e+03,2.3211e+03,2.4006e+03,2.1209e+03,1.0802e+03,2.9217e+03,2.3611e+03,2.3611e+03,2.2410e+03,2.0809e+03,1.2803e+03,1.3203e+03,1.8407e+03,6.0006e+02,5.6006e+02,7.2010e+02,2.2810e+03,6.0007e+02,1.8006e+03,1.4404e+03,7.6012e+02
2021-01-09 19:00:00 UTC,1.4004e+03,1.7206e+03,1.3203e+03,1.9207e+03,9.6018e+02,2.8016e+03,2.4412e+03,2.3611e+03,2.0008e+03,1.8807e+03,1.5605e+03,1.4804e+03,1.5605e+03,6.4008e+02,6.0007e+02,7.2010e+02,1.4004e+03,6.8009e+02,3.2002e+02,1.4404e+03,6.4008e+02
2021-01-09 19:15:00 UTC,2.8016e+03,1.9207e+03,2.0008e+03,1.9207e+03,1.6806e+03,2.8016e+03,2.8816e+03,2.4012e+03,1.8807e+03,2.2410e+03,1.6405e+03,1.5605e+03,1.3204e+03,5.2005e+02,4.4004e+02,9.2017e+02,4.8005e+02,5.2005e+02,2.8002e+02,1.2803e+03,7.6012e+02
2021-01-09 19:30:00 UTC,1.2003e+03,2.1209e+03,1.6005e+03,1.8807e+03,2.2810e+03,2.4812e+03,2.4412e+03,2.3211e+03,2.0408e+03,2.2810e+03,1.2803e+03,1.6405e+03,1.5605e+03,6.4008e+02,7.2010e+02,8.0013e+02,5.6006e+02,1.4404e+03,2.4001e+02,1.2003e+03,4.8005e+02
2021-01-09 19:45:00 UTC,1.3203e+03,2.3611e+03,1.7206e+03,2.3611e+03,1.9608e+03,2.6814e+03,3.0819e+03,2.5613e+03,2.2009e+03,1.8807e+03,1.6005e+03,1.4404e+03,1.6405e+03,5.2005e+02,4.0003e+02,8.0013e+02,4.0003e+02,8.4014e+02,2.0001e+02,1.1203e+03,8.0013e+02
2021-01-09 20:00:00 UTC,1.2403e+03,2.3611e+03,1.5205e+03,1.6005e+03,2.0408e+03,2.3611e+03,2.4012e+03,2.3211e+03,2.1209e+03,1.7206e+03,1.7206e+03,1.6405e+03,1.4804e+03,6.4008e+02,6.0007e+02,8.0013e+02,5.6006e+02,7.2010e+02,2.8002e+02,1.1603e+03,2.1209e+03
2021-01-09 20:15:00 UTC,1.5605e+03,2.4012e+03,1.2403e+03,1.6405e+03,1.4004e+03,2.3611e+03,2.3611e+03,2.3211e+03,2.0809e+03,1.6806e+03,1.3604e+03,1.8006e+03,1.4404e+03,4.4004e+02,7.2010e+02,6.8009e+02,4.8005e+02,6.4008e+02,2.8002e+02,1.4004e+03,7.6012e+02
2021-01-09 20:30:00 UTC,1.6405e+03,2.4012e+03,1.5205e+03,1.4004e+03,1.6405e+03,2.3211e+03,2.5613e+03,2.2810e+03,2.0809e+03,1.6005e+03,1.5605e+03,1.6005e+03,1.5605e+03,6.4008e+02,6.4008e+02,8.0013e+02,5.6006e+02,6.8009e+02,2.0001e+02,1.1203e+03,8.0013e+02
2021-01-09 20:45:00 UTC,1.1603e+03,5.5231e+03,1.1603e+03,1.6405e+03,1.2403e+03,2.4011e+03,2.7615e+03,2.2410e+03,2.2810e+03,1.5205e+03,1.6806e+03,1.2803e+03,1.1203e+03,4.4003e+02,9.6018e+02,7.6012e+02,2.4812e+03,6.4008e+02,2.8002e+02,2.7615e+03,7.6012e+02
2021-01-09 21:00:00 UTC,1.1203e+03,5.7233e+03,1.2803e+03,1.4804e+03,1.2803e+03,2.3611e+03,2.6013e+03,2.4412e+03,2.2810e+03,1.5205e+03,1.8007e+03,1.5605e+03,1.2803e+03,5.6006e+02,1.1203e+03,2.6008e+03,5.2005e+02,7.6012e+02,2.0001e+02,1.3203e+03,8.0013e+02
2021-01-09 21:15:00 UTC,2.0408e+03,4.2019e+03,1.3203e+03,1.8006e+03,1.0002e+03,2.4012e+03,2.2810e+03,2.6414e+03,1.9207e+03,1.2403e+03,1.8407e+03,1.4404e+03,1.1603e+03,3.6003e+02,7.6012e+02,3.4415e+03,4.8005e+02,8.0013e+02,2.4001e+02,1.0402e+03,9.2017e+02
2021-01-09 21:30:00 UTC,1.5605e+03,2.4412e+03,1.7206e+03,1.8406e+03,8.8015e+02,2.3611e+03,2.7215e+03,2.1609e+03,2.3611e+03,1.4004e+03,1.8807e+03,1.6805e+03,1.4004e+03,4.8005e+02,2.6414e+03,2.5609e+03,4.4004e+02,1.0002e+03,2.8002e+02,1.0402e+03,9.6018e+02
2021-01-09 21:45:00 UTC,1.4804e+03,2.4412e+03,2.2010e+03,1.8006e+03,1.0402e+03,2.2810e+03,2.6014e+03,2.2009e+03,2.2410e+03,1.4404e+03,1.9207e+03,1.4004e+03,1.2003e+03,6.0006e+02,9.6018e+02,9.6010e+02,4.0003e+02,9.2017e+02,2.0001e+02,1.1203e+03,8.0013e+02
2021-01-09 22:00:00 UTC,1.2803e+03,2.4412e+03,1.8807e+03,1.3604e+03,1.4004e+03,2.7215e+03,2.5212e+03,2.2010e+03,2.1609e+03,1.5205e+03,1.8407e+03,1.3604e+03,1.2403e+03,3.2002e+02,8.8015e+02,4.6036e+03,2.4001e+02,8.8015e+02,2.4001e+02,9.6018e+02,5.6006e+02
2021-01-09 22:15:00 UTC,1.2003e+03,2.4012e+03,1.1603e+03,1.2803e+03,1.1603e+03,2.6814e+03,2.8416e+03,2.5613e+03,2.1609e+03,1.5205e+03,1.2403e+03,1.0002e+03,1.0402e+03,2.8002e+02,8.4014e+02,3.4019e+03,1.6001e+02,7.6012e+02,2.4001e+02,1.0002e+03,5.6006e+02
2021-01-09 22:30:00 UTC,1.4804e+03,2.4412e+03,1.2003e+03,1.3603e+03,1.4004e+03,2.5613e+03,3.5225e+03,2.3210e+03,2.3611e+03,1.6005e+03,9.2017e+02,1.0402e+03,1.3203e+03,3.6003e+02,8.4014e+02,3.1615e+03,2.0001e+02,8.0013e+02,2.8002e+02,1.0002e+03,6.0007e+02
2021-01-09 22:45:00 UTC,1.0402e+03,2.6014e+03,1.0402e+03,1.4404e+03,1.4404e+03,2.8816e+03,3.9231e+03,2.4012e+03,1.8407e+03,1.7606e+03,1.0002e+03,1.0802e+03,1.1603e+03,2.8002e+02,8.0013e+02,1.6403e+03,1.2000e+02,8.8015e+02,2.0001e+02,9.6018e+02,5.2005e+02
2021-01-09 23:00:00 UTC,1.4404e+03,2.4812e+03,8.8016e+02,1.2003e+03,1.2803e+03,2.2010e+03,3.2020e+03,2.3611e+03,1.5204e+03,1.4404e+03,1.0002e+03,9.2017e+02,1.1603e+03,3.2002e+02,9.2017e+02,1.4004e+03,1.2000e+02,7.6012e+02,2.4001e+02,9.2017e+02,4.4004e+02
2021-01-09 23:15:00 UTC,1.2803e+03,2.4012e+03,8.8014e+02,1.3604e+03,9.6018e+02,2.1609e+03,2.7215e+03,2.2010e+03,1.0002e+03,1.4004e+03,8.4014e+02,7.2010e+02,1.4404e+03,3.6003e+02,8.4014e+02,5.2005e+02,2.0001e+02,2.5213e+03,2.8002e+02,8.4014e+02,6.0007e+02
2021-01-09 23:30:00 UTC,1.0402e+03,2.5213e+03,9.2017e+02,1.2003e+03,8.4014e+02,1.9608e+03,2.8416e+03,2.2810e+03,1.3604e+03,1.4004e+03,1.0402e+03,8.8016e+02,1.3203e+03,3.6003e+02,8.0013e+02,4.4004e+02,1.6001e+02,8.8015e+02,2.8002e+02,8.4014e+02,5.6006e+02
2021-01-09 23:45:00 UTC,1.0402e+03,2.3211e+03,9.6018e+02,1.2803e+03,8.8016e+02,2.0808e+03,2.7615e+03,2.2810e+03,1.3604e+03,1.4404e+03,8.0013e+02,6.4007e+02,1.1203e+03,4.0003e+02,8.4014e+02,4.4004e+02,1.2000e+02,8.0013e+02,2.8002e+02,8.0013e+02,4.8005e+02
2021-01-10 00:00:00 UTC,1.5205e+03,2.6014e+03,9.2017e+02,1.1203e+03,1.0402e+03,1.9608e+03,2.5213e+03,2.1609e+03,1.2803e+03,1.2803e+03,9.6018e+02,9.2017e+02,1.0002e+03,3.2002e+02,7.6012e+02,3.6003e+02,1.6001e+02,8.4014e+02,2.0001e+02,8.8015e+02,5.6006e+02
2021-01-10 00:15:00 UTC,9.6018e+02,2.4012e+03,1.4004e+03,1.5204e+03,8.8016e+02,1.8407e+03,2.3611e+03,2.2810e+03,1.3203e+03,1.2803e+03,1.0002e+03,1.6005e+03,8.8016e+02,2.8002e+02,3.2002e+02,3.6003e+02,1.8407e+03,8.8016e+02,3.6003e+02,7.6012e+02,5.2005e+02
2021-01-10 00:30:00 UTC,8.8016e+02,2.1609e+03,8.8016e+02,9.6018e+02,7.6012e+02,7.6012e+02,2.4012e+03,2.2009e+03,1.4404e+03,1.6005e+03,9.6017e+02,1.4004e+03,1.0002e+03,3.6003e+02,1.6001e+02,4.4004e+02,1.2000e+02,6.8009e+02,2.8002e+02,8.0013e+02,5.2005e+02
2021-01-10 00:45:00 UTC,4.8005e+02,2.0408e+03,1.0002e+03,1.2003e+03,8.0013e+02,8.0012e+02,2.3210e+03,2.2410e+03,1.2403e+03,1.4804e+03,8.8016e+02,1.7206e+03,1.0002e+03,1.8407e+03,2.4001e+02,4.4004e+02,1.2000e+02,2.4001e+02,1.8006e+03,8.0013e+02,5.2005e+02
2021-01-10 01:00:00 UTC,3.2002e+02,1.9608e+03,1.0002e+03,1.0402e+03,7.2010e+02,7.2010e+02,2.2810e+03,1.9608e+03,1.5204e+03,1.3203e+03,8.4014e+02,1.7606e+03,1.2003e+03,1.2000e+02,1.6001e+02,1.8004e+03,2.4001e+02,2.8002e+02,2.4001e+02,7.2010e+02,6.0007e+02
2021-01-10 01:15:00 UTC,3.6003e+02,1.4404e+03,8.4014e+02,1.2003e+03,6.4008e+02,7.6012e+02,2.2410e+03,2.0809e+03,1.3604e+03,9.2017e+02,6.8009e+02,1.2803e+03,1.5205e+03,1.6001e+02,2.8002e+02,2.5209e+03,1.6001e+02,2.8002e+02,3.6003e+02,1.6005e+03,1.6806e+03
2021-01-10 01:30:00 UTC,3.6003e+02,1.5205e+03,1.0002e+03,1.0002e+03,7.2010e+02,7.2010e+02,1.6005e+03,2.3210e+03,1.4004e+03,1.0802e+03,4.8005e+02,1.0402e+03,1.3604e+03,1.2000e+02,1.6001e+02,4.0003e+02,2.0001e+02,2.4001e+02,2.4001e+02,2.0001e+02,3.6003e+02
2021-01-10 01:45:00 UTC,1.2403e+03,1.3604e+03,8.8015e+02,1.0802e+03,3.6003e+02,8.0012e+02,1.1203e+03,2.0008e+03,1.4004e+03,9.2017e+02,7.2009e+02,1.2003e+03,1.1603e+03,2.0001e+02,2.4001e+02,4.4004e+02,1.2000e+02,2.8002e+02,2.4001e+02,1.6001e+02,1.6001e+02
2021-01-10 02:00:00 UTC,3.6003e+02,1.4804e+03,1.0402e+03,7.2010e+02,5.2005e+02,7.2010e+02,1.2403e+03,2.0809e+03,1.4004e+03,1.1202e+03,7.2010e+02,1.0402e+03,1.0802e+03,1.6001e+02,2.8002e+02,4.0003e+02,1.2000e+02,2.8002e+02,4.4004e+02,1.6001e+02,2.8002e+02
2021-01-10 02:15:00 UTC,3.2002e+02,1.4804e+03,6.4008e+02,8.0012e+02,5.6006e+02,7.6012e+02,1.4004e+03,1.8407e+03,1.3203e+03,7.2010e+02,6.8009e+02,1.0802e+03,1.0402e+03,2.0001e+02,2.8002e+02,3.6003e+02,2.4001e+02,2.4001e+02,2.0001e+02,2.8002e+02,3.2002e+02
2021-01-10 02:30:00 UTC,3.6003e+02,1.0802e+03,6.0007e+02,7.2010e+02,5.2005e+02,7.6010e+02,1.2403e+03,1.8406e+03,1.4804e+03,9.2017e+02,6.0007e+02,1.2003e+03,9.2017e+02,2.8001e+02,3.2002e+02,4.4004e+02,2.4001e+02,2.8002e+02,2.4001e+02,1.2000e+02,2.0001e+02
2021-01-10 02:45:00 UTC,4.4004e+02,8.8015e+02,4.8005e+02,8.0013e+02,4.0003e+02,7.6012e+02,1.2003e+03,1.7206e+03,1.3604e+03,7.2010e+02,5.6006e+02,1.1203e+03,1.1603e+03,2.0001e+02,2.4001e+02,3.6003e+02,1.2000e+02,2.8002e+02,2.8002e+02,1.6001e+02,2.8002e+02
2021-01-10 03:00:00 UTC,3.2002e+02,8.4014e+02,7.2009e+02,6.8008e+02,5.2005e+02,6.8009e+02,1.1603e+03,1.2803e+03,1.4004e+03,9.6017e+02,6.4007e+02,1.0802e+03,1.0002e+03,1.6001e+02,1.6001e+02,4.0003e+02,1.2000e+02,2.4001e+02,4.0003e+02,2.4001e+02,2.8002e+02
2021-01-10 03:15:00 UTC,3.6003e+02,8.4014e+02,4.4004e+02,8.4014e+02,5.2005e+02,8.0013e+02,1.2403e+03,1.2803e+03,1.4804e+03,6.8009e+02,5.6006e+02,1.2403e+03,9.6018e+02,1.2000e+02,2.8002e+02,4.0003e+02,3.6003e+02,4.0003e+02,2.4001e+02,1.6001e+02,3.6003e+02
2021-01-10 03:30:00 UTC,3.2002e+02,6.8009e+02,5.6006e+02,6.4008e+02,4.0003e+02,6.8008e+02,1.2003e+03,1.4404e+03,1.2403e+03,8.4014e+02,5.2005e+02,1.1202e+03,6.4008e+02,3.2002e+02,1.2000e+02,4.4004e+02,1.6001e+02,3.2002e+02,2.0001e+02,2.4001e+02,2.4001e+02
2021-01-10 03:45:00 UTC,8.8015e+02,8.4014e+02,5.6006e+02,8.8015e+02,6.0007e+02,8.4014e+02,1.2003e+03,1.2403e+03,1.1203e+03,8.8014e+02,6.4008e+02,1.0802e+03,8.8015e+02,1.6001e+02,2.4001e+02,4.0003e+02,1.2000e+02,2.4001e+02,4.4004e+02,2.4001e+02,3.2002e+02
2021-01-10 04:00:00 UTC,4.4004e+02,6.8009e+02,5.6005e+02,6.8008e+02,5.6006e+02,6.4008e+02,1.1202e+03,1.4404e+03,1.1603e+03,7.2010e+02,4.8005e+02,1.2003e+03,6.4008e+02,2.0001e+02,1.9608e+03,3.6003e+02,2.8002e+02,2.8002e+02,2.4001e+02,1.2000e+02,3.2002e+02
2021-01-10 04:15:00 UTC,1.2803e+03,7.2010e+02,5.6006e+02,8.4014e+02,4.0003e+02,7.6012e+02,1.2403e+03,1.2403e+03,1.2003e+03,8.8015e+02,6.4007e+02,1.0402e+03,7.6012e+02,5.6006e+02,5.2005e+02,6.8009e+02,5.6006e+02,6.4008e+02,2.4001e+02,4.8005e+02,6.0007e+02
2021-01-10 04:30:00 UTC,5.2005e+02,7.2010e+02,6.4008e+02,6.4008e+02,6.4008e+02,7.6010e+02,1.1603e+03,1.3603e+03,1.0402e+03,7.2010e+02,5.2005e+02,1.0002e+03,7.2010e+02,7.2009e+02,6.8009e+02,8.4014e+02,6.0007e+02,6.4008e+02,4.0003e+02,6.0007e+02,6.0007e+02
2021-01-10 04:45:00 UTC,4.8005e+02,7.6012e+02,5.2005e+02,8.0013e+02,4.0003e+02,7.6012e+02,1.1603e+03,1.3604e+03,1.0402e+03,9.6017e+02,4.8005e+02,1.1203e+03,7.2010e+02,4.0003e+02,5.2005e+02,7.6012e+02,4.4004e+02,5.6006e+02,2.4001e+02,4.4004e+02,4.4004e+02
2021-01-10 05:00:00 UTC,6.0007e+02,7.2010e+02,5.2005e+02,7.2009e+02,4.8005e+02,6.8009e+02,1.2003e+03,1.3604e+03,9.6017e+02,7.2010e+02,6.4008e+02,1.2003e+03,6.4008e+02,3.2002e+02,4.0003e+02,6.4008e+02,4.4004e+02,8.8015e+02,3.2002e+02,3.6003e+02,5.2005e+02
2021-01-10 05:15:00 UTC,5.2005e+02,7.2010e+02,6.0007e+02,7.6012e+02,5.2005e+02,7.2010e+02,1.2403e+03,1.3203e+03,8.8015e+02,8.4014e+02,8.0012e+02,1.0802e+03,8.8015e+02,4.8004e+02,4.0003e+02,1.6405e+03,5.6006e+02,3.6426e+03,4.0003e+02,4.8005e+02,4.0003e+02
2021-01-10 05:30:00 UTC,2.8002e+02,8.0013e+02,4.8005e+02,7.6012e+02,4.8005e+02,7.6010e+02,1.0802e+03,1.4004e+03,7.6012e+02,7.6012e+02,6.0007e+02,1.0802e+03,5.6006e+02,3.1220e+03,3.2002e+02,3.4824e+03,5.6006e+02,1.9608e+03,2.0001e+02,2.8002e+02,3.2002e+02
2021-01-10 05:45:00 UTC,2.0001e+02,6.8009e+02,6.4007e+02,7.2009e+02,4.0003e+02,7.2010e+02,1.2403e+03,1.2403e+03,1.0402e+03,8.4013e+02,6.0007e+02,6.8009e+02,8.4014e+02,3.6003e+02,4.2837e+03,2.8817e+03,3.2822e+03,4.9249e+03,3.2002e+02,3.2002e+02,3.6827e+03
2021-01-10 06:00:00 UTC,3.2002e+02,8.4014e+02,5.2005e+02,7.6012e+02,5.6006e+02,7.6012e+02,1.1603e+03,1.5205e+03,8.0012e+02,8.4014e+02,6.4008e+02,7.2009e+02,6.0007e+02,5.6006e+02,3.0018e+03,4.8046e+03,3.7228e+03,8.8016e+02,2.4001e+02,3.6003e+02,4.2837e+03
2021-01-10 06:15:00 UTC,1.6001e+02,7.2010e+02,4.4004e+02,7.2010e+02,6.0007e+02,8.4013e+02,1.2403e+03,1.3603e+03,8.8015e+02,8.0013e+02,8.0012e+02,6.4008e+02,8.4014e+02,4.0003e+02,1.8807e+03,1.6405e+03,4.4440e+03,9.2017e+02,3.6003e+02,1.6001e+02,4.3237e+03
2021-01-10 06:30:00 UTC,2.4001e+02,8.8015e+02,4.4003e+02,8.0012e+02,4.0003e+02,1.3203e+03,1.1203e+03,1.8807e+03,9.2017e+02,8.4013e+02,9.6018e+02,9.2017e+02,8.0013e+02,2.8002e+02,3.8430e+03,6.0007e+02,1.2803e+03,5.2005e+02,2.8002e+02,1.2000e+02,1.8407e+03
2021-01-10 06:45:00 UTC,1.2000e+02,8.4014e+02,6.4008e+02,9.2017e+02,1.2803e+03,1.0002e+03,1.2803e+03,1.4404e+03,1.3603e+03,8.4014e+02,6.8009e+02,5.2005e+02,9.2017e+02,1.2000e+02,6.0007e+02,2.0008e+03,3.2002e+02,2.4001e+02,2.0001e+02,2.4001e+02,4.4004e+02
2021-01-10 07:00:00 UTC,3.2002e+02,1.4804e+03,4.4004e+02,1.4004e+03,1.1603e+03,1.4404e+03,1.1203e+03,9.2016e+02,8.8016e+02,7.2010e+02,1.7206e+03,7.2010e+02,1.1603e+03,2.0001e+02,1.6001e+02,5.2005e+02,1.2000e+02,1.6001e+02,4.0003e+02,3.2002e+02,1.6001e+02
2021-01-10 07:15:00 UTC,1.6001e+02,1.2403e+03,1.0802e+03,1.4804e+03,9.2017e+02,1.1203e+03,1.6405e+03,1.0802e+03,1.0802e+03,1.2403e+03,1.2803e+03,1.4004e+03,1.3204e+03,2.0001e+02,1.6001e+02,2.0001e+02,2.0001e+02,1.6001e+02,2.4001e+02,3.6026e+03,1.2000e+02
2021-01-10 07:30:00 UTC,5.6006e+02,1.3604e+03,1.3604e+03,1.0402e+03,1.0802e+03,1.4404e+03,2.1209e+03,1.0002e+03,8.0012e+02,1.2003e+03,1.4004e+03,1.3203e+03,1.1203e+03,1.2000e+02,1.2000e+02,1.2000e+02,1.2000e+02,4.0000e+01,2.4001e+02,4.0003e+02,1.2000e+02
2021-01-10 07:45:00 UTC,8.4014e+02,6.4008e+02,1.1203e+03,8.4014e+02,7.6012e+02,1.2403e+03,1.9207e+03,9.2017e+02,7.6012e+02,1.2003e+03,1.2403e+03,1.3604e+03,1.5205e+03,2.4001e+02,2.0001e+02,8.0001e+01,1.2000e+02,1.6001e+02,4.0003e+02,4.4004e+02,1.6001e+02
2021-01-10 08:00:00 UTC,8.8016e+02,8.0013e+02,9.2016e+02,1.0802e+03,9.6019e+02,1.1203e+03,1.6806e+03,1.1202e+03,8.0013e+02,1.2803e+03,1.2803e+03,1.1603e+03,7.2011e+02,1.2000e+02,2.0001e+02,2.0001e+02,1.6001e+02,1.9207e+03,2.4001e+02,8.4014e+02,1.2000e+02
2021-01-10 08:15:00 UTC,1.4804e+03,6.4008e+02,9.2017e+02,1.0002e+03,9.6019e+02,6.4008e+02,1.8807e+03,9.6019e+02,8.8016e+02,1.2403e+03,1.2003e+03,8.0013e+02,8.8016e+02,8.0001e+01,1.6001e+02,1.2000e+02,2.8002e+02,1.2000e+02,1.8007e+03,5.2005e+02,1.6001e+02
2021-01-10 08:30:00 UTC,1.6806e+03,7.6012e+02,8.0013e+02,1.1603e+03,9.6019e+02,9.2017e+02,1.5605e+03,9.2017e+02,7.2009e+02,1.1603e+03,1.2403e+03,1.0402e+03,6.4008e+02,1.4404e+03,1.6001e+02,1.2000e+02,1.2000e+02,2.4001e+02,2.8002e+02,6.8009e+02,2.0001e+02
2021-01-10 08:45:00 UTC,2.8002e+02,7.6012e+02,9.6017e+02,1.2403e+03,1.0402e+03,7.2009e+02,2.1609e+03,1.1603e+03,1.0802e+03,9.2016e+02,1.1202e+03,8.0013e+02,7.2011e+02,6.0007e+02,1.2000e+02,2.0001e+02,1.7206e+03,1.6001e+02,2.8002e+02,6.0007e+02,1.8807e+03
2021-01-10 09:00:00 UTC,3.6003e+02,8.4014e+02,1.0402e+03,1.5205e+03,7.6012e+02,1.1203e+03,1.4404e+03,1.0002e+03,1.1203e+03,1.2003e+03,1.0802e+03,1.0002e+03,8.0013e+02,8.0001e+01,1.9608e+03,1.2000e+02,1.6001e+02,8.0001e+01,3.2002e+02,1.1603e+03,1.2000e+02
2021-01-10 09:15:00 UTC,2.0008e+03,8.4014e+02,9.6019e+02,1.2003e+03,1.0402e+03,7.2010e+02,1.3203e+03,1.2803e+03,1.0402e+03,9.2017e+02,9.2017e+02,9.2017e+02,7.6012e+02,2.0001e+02,1.2000e+02,1.2000e+02,1.6001e+02,1.2000e+02,2.4001e+02,4.6844e+03,1.6001e+02
2021-01-10 09:30:00 UTC,9.6019e+02,8.8016e+02,8.4014e+02,1.2803e+03,7.2011e+02,9.6017e+02,1.0802e+03,1.6405e+03,1.0002e+03,8.0013e+02,8.0013e+02,9.6019e+02,8.0013e+02,1.6000e+02,1.2000e+02,1.2000e+02,1.2000e+02,1.6001e+02,3.6003e+02,5.0452e+03,1.2000e+02
2021-01-10 09:45:00 UTC,6.0007e+02,8.4014e+02,7.6011e+02,1.2403e+03,9.2017e+02,8.0013e+02,1.2003e+03,1.7606e+03,1.1603e+03,8.4013e+02,1.1603e+03,1.5605e+03,7.6012e+02,1.6001e+02,2.0001e+02,2.0001e+02,1.2000e+02,1.2000e+02,2.8002e+02,4.0433e+03,1.6001e+02
2021-01-10 10:00:00 UTC,6.8009e+02,8.4014e+02,1.0402e+03,1.2403e+03,9.6019e+02,8.4014e+02,1.3203e+03,1.9207e+03,9.6019e+02,8.4014e+02,6.8009e+02,1.4804e+03,8.0013e+02,2.0001e+02,2.0001e+02,1.2000e+02,1.6001e+02,1.2000e+02,3.6003e+02,4.9249e+03,1.6001e+02
2021-01-10 10:15:00 UTC,1.0002e+03,1.0402e+03,7.6012e+02,1.1203e+03,8.8016e+02,9.6019e+02,1.2403e+03,1.8407e+03,1.1202e+03,7.6012e+02,9.6019e+02,1.2403e+03,8.0013e+02,2.4001e+02,1.6001e+02,1.2000e+02,1.5975e+02,2.0001e+02,3.6003e+02,2.2410e+03,1.2000e+02
2021-01-10 10:30:00 UTC,2.2010e+03,6.4008e+02,1.0402e+03,1.1603e+03,8.8016e+02,1.1202e+03,1.2003e+03,1.9207e+03,1.2403e+03,8.4013e+02,9.6019e+02,1.4804e+03,8.0013e+02,1.2000e+02,2.0001e+02,1.4804e+03,1.2000e+02,8.0001e+01,2.4001e+02,2.7215e+03,1.2000e+02
2021-01-10 10:45:00 UTC,9.2017e+02,8.0013e+02,1.0002e+03,1.2803e+03,1.0002e+03,1.2403e+03,1.2803e+03,1.8407e+03,1.0802e+03,7.2010e+02,9.2016e+02,1.6005e+03,8.4014e+02,1.2000e+02,2.4001e+02,4.8005e+02,2.0001e+02,1.2000e+02,2.0001e+02,3.3222e+03,1.2000e+02
2021-01-10 11:00:00 UTC,1.4404e+03,7.2010e+02,9.2017e+02,1.3604e+03,6.4008e+02,1.1203e+03,1.1202e+03,1.8007e+03,8.4014e+02,8.8016e+02,8.4014e+02,1.5605e+03,8.4014e+02,1.6001e+02,1.6001e+02,2.4001e+02,1.2000e+02,2.0001e+02,4.4004e+02,1.7606e+03,3.6003e+02
2021-01-10 11:15:00 UTC,5.2005e+02,8.4014e+02,8.8016e+02,1.6805e+03,7.2010e+02,9.6019e+02,1.2003e+03,1.9608e+03,1.2003e+03,1.0802e+03,9.2017e+02,1.4404e+03,6.8009e+02,1.6000e+02,2.0001e+02,1.2000e+02,1.2000e+02,1.2000e+02,2.4001e+02,7.2010e+02,1.2000e+02
2021-01-10 11:30:00 UTC,2.4412e+03,1.4004e+03,1.2003e+03,1.4804e+03,6.4008e+02,7.2009e+02,1.4404e+03,1.8407e+03,1.0802e+03,1.0802e+03,1.2403e+03,1.6005e+03,1.1203e+03,1.2000e+02,1.6001e+02,1.2000e+02,2.0001e+02,1.2000e+02,2.0001e+02,8.4014e+02,1.2000e+02
2021-01-10 11:45:00 UTC,5.2005e+02,9.6019e+02,8.4014e+02,1.5204e+03,6.0007e+02,7.6012e+02,1.4004e+03,2.2010e+03,1.0002e+03,1.0002e+03,1.0002e+03,1.2803e+03,8.0013e+02,2.0001e+02,1.2000e+02,1.2000e+02,8.0001e+01,8.0001e+01,4.8005e+02,5.2005e+02,1.2000e+02
2021-01-10 12:00:00 UTC,5.2005e+02,8.0013e+02,9.2017e+02,1.3203e+03,6.8009e+02,6.8009e+02,1.2003e+03,1.9207e+03,1.2003e+03,8.0013e+02,1.0002e+03,1.6405e+03,8.0013e+02,2.0001e+02,1.6001e+02,1.6001e+02,2.0001e+02,1.6001e+02,2.0001e+02,7.2010e+02,3.2002e+02
2021-01-10 12:15:00 UTC,4.0003e+02,1.0402e+03,7.2009e+02,1.4004e+03,6.8009e+02,8.0012e+02,1.2403e+03,1.9207e+03,1.2403e+03,1.0002e+03,1.0402e+03,1.3604e+03,7.6012e+02,1.2000e+02,2.4001e+02,1.2000e+02,2.0001e+02,1.2000e+02,2.0001e+02,6.0007e+02,1.2000e+02
2021-01-10 12:30:00 UTC,5.6006e+02,1.0002e+03,5.6006e+02,1.7606e+03,5.6006e+02,6.4008e+02,1.6405e+03,2.0008e+03,1.0802e+03,8.0013e+02,1.1602e+03,1.4404e+03,1.1203e+03,1.6001e+02,1.6001e+02,1.6001e+02,1.6001e+02,2.0001e+02,4.8005e+02,3.2002e+02,2.4001e+02
